frame,boxes
argo_01736.png,"[187.04759258031845, 10.163158178329468, 366.67430728673935, 275.66598415374756]"
argo_04982.png
argo_03102.png,"[319.9809809923172, -9.462769031524658, 577.1718057394028, 293.9608597755432]"
argo_01530.png,"[492.17844438552856, -12.807440757751465, 740.6043906211853, 262.42990493774414]"
argo_01265.png,"[458.0744695663452, 1.8617749214172363, 652.4611399173737, 286.6309404373169]"
argo_02507.png,"[361.1781751513481, 1.4226436614990234, 590.9140703678131, 279.40794467926025]"
argo_04968.png
argo_03931.png,"[503.1030594110489, -4.746168851852417, 763.4754856824875, 277.7070379257202]","[-2.5526264309883118, 36.32113337516785, 433.9554011821747, 345.1342964172363]"
argo_03308.png,"[360.7426290512085, 1.6389906406402588, 580.0385761260986, 264.6578121185303]"
argo_03045.png,"[303.4932972192764, -12.024064064025879, 557.1352089643478, 282.5081276893616]"
argo_03196.png,"[286.66701090335846, -0.35834312438964844, 535.1955763101578, 313.035786151886]","[536.6286306381226, 28.121824264526367, 864.280038356781, 343.383994102478]"
argo_00194.png,"[181.5531911253929, 14.144532680511475, 370.0080559849739, 230.36645650863647]"
argo_02559.png,"[283.2526074051857, -7.3316144943237305, 550.9905297756195, 240.51072120666504]"
argo_01542.png,"[414.79773557186127, -4.523320198059082, 648.1494549512863, 237.32305526733398]"
argo_00758.png,"[192.00226351618767, 9.546765089035034, 540.5810976028442, 351.7711544036865]"
argo_05155.png
argo_01857.png,"[283.11229503154755, -8.27443242073059, 467.89450323581696, 272.9517602920532]"
argo_02115.png,"[32.815559566020966, 9.251335859298706, 376.5221081972122, 335.7525300979614]","[481.06096029281616, 7.587357759475708, 854.8496623039246, 338.6706876754761]"
argo_02264.png,"[417.3676179051399, 4.737038612365723, 849.786607503891, 352.60388374328613]"
argo_02094.png,"[366.55914068222046, 0.4369962215423584, 595.180095911026, 279.7822093963623]"
argo_00854.png,"[353.48013389110565, -17.165547609329224, 583.6006728410721, 287.7333927154541]"
argo_04584.png,"[318.8871400356293, -4.541409015655518, 546.9550919532776, 290.7892441749573]"
argo_02459.png,"[242.92197513580322, -13.77933382987976, 511.58578610420227, 291.9680643081665]"
argo_05065.png,"[208.4580951333046, -4.818856716156006, 378.69174522161484, 212.2884964942932]"
argo_00797.png,"[289.30426251888275, 36.908944845199585, 501.1788481473923, 289.2333698272705]"
argo_02352.png,"[348.34062373638153, 20.577456951141357, 570.7120918035507, 310.45618772506714]"
argo_01522.png,"[427.2995604276657, -5.694705247879028, 682.6023145914078, 253.68581771850586]"
argo_03226.png,"[416.98383951187134, 3.869354724884033, 835.4067907333374, 341.15108728408813]"
argo_00032.png
argo_02394.png,"[260.2855359315872, -16.03877305984497, 528.6069775819778, 297.46116399765015]"
argo_03659.png,"[179.96582627296448, -5.942090749740601, 433.74222207069397, 291.1500549316406]","[545.8204272985458, -16.286330223083496, 858.8294129371643, 294.5415687561035]"
argo_03237.png,"[411.92409336566925, -10.412346124649048, 797.4591273069382, 346.8075656890869]"
argo_01496.png,"[205.65877038240433, -3.5776054859161377, 473.8684558868408, 245.93440532684326]"
argo_02809.png,"[287.1168860197067, 31.937550902366638, 316.013396024704, 65.78635275363922]","[220.6969838142395, 40.980975329875946, 248.77925956249237, 74.71210598945618]"
argo_01553.png,"[323.7912267446518, -4.6246325969696045, 528.2518317699432, 255.49045085906982]"
argo_01181.png,"[166.93496039509773, 169.8462724685669, 237.24463057518005, 238.9127254486084]","[720.7348045110703, 185.64594268798828, 785.6398013830185, 264.59871768951416]","[288.6708080172539, 130.34589529037476, 324.12710601091385, 181.06698274612427]","[500.2065111398697, 156.8041491508484, 531.353567481041, 199.94604349136353]","[561.0550475120544, 149.35365915298462, 615.4538977146149, 215.67880868911743]","[98.93214729428291, 16.0849928855896, 143.34621831774712, 72.67846584320068]"
argo_03612.png,"[189.2583332657814, -4.179621934890747, 422.94529563188553, 297.49367237091064]"
argo_04540.png,"[172.05213713645935, -4.014633893966675, 381.7046308517456, 284.2988348007202]"
argo_01060.png
argo_02537.png,"[-14.280811667442322, -24.52298641204834, 302.19355618953705, 329.66267108917236]"
argo_03866.png,"[157.6451257765293, 0.4976785182952881, 469.6333280801773, 308.2248258590698]"
argo_02281.png,"[430.53145349025726, 8.75211238861084, 848.2550061941147, 338.0718469619751]"
argo_03696.png,"[420.945316195488, -12.481584548950195, 678.0206943750381, 284.92194414138794]","[-8.210271775722504, -16.645874977111816, 304.2170270681381, 241.48459911346436]"
argo_05082.png,"[202.69910317659378, -4.662516117095947, 382.3086637854576, 232.64453172683716]"
argo_02969.png,"[412.56159460544586, 0.3277122974395752, 790.7353318929672, 324.9228000640869]"
argo_04943.png,"[251.699451982975, 184.60086822509766, 275.46754854917526, 208.32923412322998]"
argo_01950.png,"[237.30591702461243, -0.5429971218109131, 426.8291207551956, 238.81410598754883]"
argo_04994.png,"[695.3344217538834, -3.961193561553955, 845.2372084856033, 206.42216205596924]"
argo_04246.png
argo_04592.png,"[231.77252435684204, -11.832371950149536, 491.46270620822906, 302.2692060470581]"
argo_03384.png,"[142.1284682750702, -10.045301914215088, 430.602258682251, 334.1695547103882]"
argo_04975.png
argo_04664.png,"[627.4119325876236, -5.519278049468994, 806.9518078565598, 169.99090790748596]","[282.4844652414322, 21.456706523895264, 434.0034530162811, 229.17454719543457]"
argo_04006.png,"[125.22031822800636, -9.230725765228271, 421.0291014909744, 267.7076983451843]","[452.05933690071106, 73.18599343299866, 616.1676506996155, 301.4979314804077]"
argo_00627.png,"[446.3686559200287, -5.610226392745972, 591.6985776424408, 137.06738233566284]"
argo_02842.png,"[287.9716131091118, 31.595290303230286, 317.56309312582016, 65.6061726808548]","[220.2334668636322, 38.16723346710205, 248.64177227020264, 73.3722460269928]"
argo_02086.png,"[380.84659510850906, -0.4701375961303711, 596.0096008777618, 267.8957533836365]"
argo_00631.png,"[745.3997498750687, 181.2367343902588, 775.3138490915298, 220.8924436569214]","[467.03506767749786, -6.519023180007935, 607.1281539201736, 160.27249217033386]"
argo_04319.png,"[690.9062721729279, 210.23828029632568, 756.5544435977936, 263.4843349456787]","[571.036339879036, 169.91878867149353, 598.1706608533859, 201.60474300384521]","[155.24696257710457, 154.29291486740112, 195.39266654849052, 207.09518194198608]","[345.5342490077019, 7.918846607208252, 401.8635714650154, 76.39270842075348]","[670.01105427742, 189.9042820930481, 708.2813878059387, 237.69764184951782]"
argo_02077.png,"[377.0595862865448, -8.437875509262085, 595.6109335422516, 267.5159740447998]"
argo_03264.png,"[427.55117082595825, 6.183328628540039, 840.5604517459869, 325.1963210105896]"
argo_02317.png,"[330.36972135305405, 30.592546463012695, 561.3894760608673, 336.3807678222656]","[-16.433867245912552, -8.292778730392456, 309.2428722381592, 334.7632884979248]"
argo_02032.png,"[433.9335640668869, 7.962126731872559, 681.3763819932938, 277.78913497924805]"
argo_05140.png,"[307.52272856235504, -6.0669368505477905, 453.7115259170532, 151.37720346450806]"
argo_02466.png,"[228.280011177063, -8.731609582901001, 495.08018469810486, 276.2051296234131]"
argo_01304.png,"[292.469931602478, -18.469444513320923, 844.9043579101562, 362.40862369537354]"
argo_03796.png,"[181.60955277085304, -10.093410015106201, 487.560938000679, 306.3553261756897]"
argo_01046.png
argo_04417.png,"[471.1668127775192, -16.500027179718018, 681.2976869344711, 286.8238878250122]"
argo_04966.png
argo_01460.png,"[252.27340161800385, -1.7426741123199463, 525.3511604070663, 247.42721557617188]"
argo_01609.png,"[314.0329885482788, 8.887821435928345, 507.0167896747589, 277.4506616592407]"
argo_00230.png,"[218.44969522953033, 17.110047340393066, 389.1465059518814, 220.6685972213745]"
argo_04237.png,"[313.2724562883377, 93.01235675811768, 559.2472499608994, 233.47738981246948]"
argo_00764.png,"[192.9061622917652, 0.010074377059936523, 533.9349282979965, 353.13539028167725]"
