frame,boxes
kings_00788.png,"[180.47553712129593, 79.73515433073044, 316.6482757925987, 258.1345121860504]","[449.37698578834534, 124.73994022607803, 545.4795341491699, 262.91747069358826]"
kings_02461.png,"[57.80279326438904, -12.213616013526917, 509.3670028448105, 402.2406108379364]"
kings_01130.png,"[352.0320633649826, 419.743470788002, 400.4172570705414, 472.43009102344513]"
kings_00138.png,"[303.2062078714371, 318.178026676178, 319.5065200328827, 339.46537733078003]"
kings_00420.png,"[331.9493744969368, 51.002045929431915, 437.5788861513138, 183.33366066217422]"
kings_02862.png,"[754.8259010314941, 223.72045105695724, 798.1946156024933, 265.50981163978577]","[65.47517336905003, 200.94699454307556, 100.31615082919598, 235.67675042152405]","[812.680767416954, 255.640322804451, 851.4528964757919, 306.1874953508377]","[357.83083552122116, 225.16723930835724, 393.16517144441605, 267.5748122930527]","[681.0444476604462, 249.7158145904541, 749.0976541042328, 316.13658809661865]","[212.05979388952255, 263.4854391813278, 262.1663529276848, 318.5671285390854]","[337.8008815050125, 132.37661629915237, 350.5912209749222, 149.87825113534927]","[437.7853970527649, 213.59787648916245, 462.79484963417053, 239.13091623783112]","[416.4545567035675, 135.45719361305237, 432.2439618110657, 157.58317744731903]","[691.3571653366089, 188.40831023454666, 715.9355766773224, 209.00894182920456]","[455.6121184825897, 163.63438522815704, 473.80238461494446, 182.1436904668808]"
kings_03227.png,"[266.3155320882797, 89.47886955738068, 504.66510033607483, 377.3406842947006]"
kings_03401.png,"[7.307301968336105, 35.28758156299591, 379.580220580101, 465.5130981206894]"
kings_01970.png,"[333.63261395692825, 56.841932252049446, 430.9322078227997, 164.3394525051117]"
kings_02856.png,"[754.9157437086105, 223.45132488012314, 798.305939078331, 265.4731721878052]","[65.34348258376122, 200.8641426563263, 100.2926912009716, 235.58908355236053]","[812.6986850500107, 255.88608634471893, 851.4528964757919, 306.0307947397232]","[358.2939707040787, 225.61897867918015, 393.3477327823639, 267.9909806251526]","[212.1419121325016, 264.1441230773926, 262.24283373355865, 318.3639590740204]","[684.0291588306427, 248.7337291240692, 748.4810228347778, 313.84135150909424]","[337.7223137021065, 132.4653800725937, 350.5596869587898, 149.92997658252716]","[437.9597885608673, 213.033298432827, 462.91660809516907, 239.03532886505127]","[691.4452773332596, 188.25769245624542, 716.0559607744217, 208.92328357696533]","[415.365296959877, 135.2371574640274, 431.62539625167847, 158.0681515932083]","[455.44500601291656, 163.89499258995056, 473.7021578550339, 182.461479306221]"
kings_01067.png
kings_00363.png,"[156.20164918899536, 25.926386773586273, 315.2503695487976, 244.06217050552368]"
kings_01886.png,"[352.4378824830055, -7.172186970710754, 586.9752452373505, 211.51536810398102]","[7.422035902738571, 81.71242401003838, 115.07158252596855, 238.1150974035263]"
kings_02687.png,"[136.16014033555984, 31.21045958995819, 332.840165913105, 336.79790556430817]"
kings_02025.png,"[319.32344967126846, 48.290626764297485, 399.62564891576767, 164.8872920870781]","[493.8549647331238, -5.23212656378746, 605.2620222568512, 111.45330965518951]"
