frame,boxes
no_country_clip2_00605.png,"[453.00949573516846, 12.566288948059082, 574.4551591873169, 194.10869669914246]"
no_country_clip2_00715.png,"[311.75150775909424, 69.0772448182106, 436.6776819229126, 213.8638551235199]"
no_country_clip2_00949.png,"[301.76222467422485, 46.592197477817535, 423.1324248313904, 194.56314301490784]"
no_country_clip2_00071.png,"[127.27513980865479, 236.57742738723755, 160.95769882202148, 273.0520706176758]","[561.0258264541626, 133.62634193897247, 672.7317209243774, 273.16701650619507]","[370.7896327972412, 45.03581213951111, 422.50968837738037, 125.51787281036377]"
no_country_clip2_01342.png,"[444.3610382080078, 19.316224813461304, 572.0846614837646, 202.6306824684143]"
no_country_clip2_00391.png,"[457.65678119659424, 22.90620642900467, 573.0368738174438, 196.37153387069702]"
no_country_clip2_00241.png,"[129.16404724121094, 221.73908042907715, 165.43065547943115, 265.72113513946533]","[7.410342037677765, 233.80648946762085, 42.217850029468536, 268.931809425354]","[322.8257336616516, 52.99746382236481, 377.63948106765747, 124.90144348144531]","[561.9716701507568, 123.6567713022232, 675.4617938995361, 263.2949914932251]"
no_country_clip2_00124.png,"[123.37180972099304, 231.9026141166687, 156.98418736457825, 269.2108645439148]","[341.17064332962036, 41.60402485728264, 396.9094605445862, 120.82200348377228]","[562.087872505188, 125.70966625213623, 674.9252614974976, 266.1766662597656]"
no_country_clip2_00433.png,"[458.7349510192871, 23.59499764442444, 573.3261413574219, 197.62498211860657]"
no_country_clip2_00490.png,"[450.10590267181396, 27.630888164043427, 574.6531934738159, 207.52501678466797]"
no_country_clip2_00739.png,"[453.5047836303711, 14.933549404144287, 574.2667789459229, 200.89228320121765]"
no_country_clip2_00844.png,"[448.96793842315674, 25.443260490894318, 574.7114210128784, 205.7890908718109]","[688.7003707885742, -2.915520668029785, 848.3344039916992, 158.5934545993805]"
no_country_clip2_00341.png,"[458.8218879699707, 21.68180924654007, 576.5367431640625, 198.6960096359253]"
no_country_clip2_00887.png,"[294.41794776916504, 41.63696223497391, 427.7192335128784, 200.818776845932]"
no_country_clip2_00571.png,"[298.92284870147705, 73.49123311042786, 420.02223014831543, 212.21399760246277]"
no_country_clip2_01148.png,"[457.3589210510254, 14.760371208190918, 577.4554443359375, 194.71725034713745]"
no_country_clip2_00555.png,"[294.89951276779175, 76.21074587106705, 412.5396122932434, 213.41255474090576]"
no_country_clip2_00866.png,"[449.5874652862549, 28.2394038438797, 572.5189418792725, 205.6299066543579]","[659.6913805007935, -4.879391133785248, 847.2975797653198, 179.23190426826477]"
no_country_clip2_00763.png,"[454.2232265472412, 13.951226353645325, 575.383716583252, 198.96534490585327]"
no_country_clip2_00827.png,"[450.15821647644043, 25.977255523204803, 574.0626792907715, 205.13360857963562]","[719.1115732192993, -2.4296475648880005, 852.2292804718018, 132.15456593036652]"
no_country_clip2_00511.png,"[454.99984645843506, 25.990473866462708, 575.1948308944702, 203.83880758285522]"
no_country_clip2_00553.png,"[293.2383599281311, 77.6636734008789, 412.2463011741638, 213.44262552261353]"
no_country_clip2_00712.png,"[312.40891790390015, 69.5977611541748, 436.91529273986816, 208.39498662948608]"
no_country_clip2_00003.png,"[124.14529585838318, 153.54621708393097, 162.93896412849426, 190.88348603248596]","[560.1420516967773, 44.674203395843506, 673.7206287384033, 187.62117505073547]","[233.81662559509277, 54.11133569478989, 267.06510639190674, 97.74874258041382]"
no_country_clip2_00189.png,"[540.4860620498657, 25.203996002674103, 623.0906209945679, 146.8309841156006]","[173.69065141677856, -2.960195630788803, 333.2003445625305, 70.27761900424957]"
no_country_clip2_01114.png,"[290.29754066467285, 58.59018987417221, 408.42418384552, 198.79780769348145]"
no_country_clip2_00938.png,"[297.4616508483887, 48.895335137844086, 410.20002269744873, 195.22077322006226]"
no_country_clip2_01012.png,"[454.78290843963623, 14.770807027816772, 575.617283821106, 195.53894639015198]"
no_country_clip2_00010.png,"[242.17920207977295, 56.695795714855194, 278.1011962890625, 102.57019972801208]","[559.4660158157349, 47.96940565109253, 672.2027196884155, 190.28753781318665]","[123.43494009971619, 157.11916184425354, 164.20154643058777, 195.6079616546631]"
no_country_clip2_00508.png,"[454.3642463684082, 24.96971619129181, 576.5776844024658, 202.8959822654724]"
no_country_clip2_00939.png,"[297.95784854888916, 48.83028483390808, 409.9091377258301, 194.76758527755737]"
no_country_clip2_00005.png,"[123.4463758468628, 154.08200204372406, 163.25106525421143, 193.25463008880615]","[560.9941854476929, 45.105049788951874, 674.0696401596069, 187.2726490497589]","[233.63418436050415, 54.40746021270752, 271.26064825057983, 101.18440532684326]"
no_country_clip2_00972.png,"[453.4030876159668, 15.351638495922089, 575.5541534423828, 196.38377046585083]"
no_country_clip2_01267.png,"[452.9160385131836, 17.343486070632935, 574.2470664978027, 204.5771472454071]"
no_country_clip2_00054.png,"[126.68545961380005, 231.73998022079468, 162.2834873199463, 269.55969429016113]","[561.369833946228, 128.94881665706635, 674.6838598251343, 269.63827753067017]","[363.4546055793762, 39.78956452012062, 412.8509678840637, 120.20507514476776]"
no_country_clip2_00435.png,"[457.8128128051758, 23.764292240142822, 574.742000579834, 203.2811963558197]"
no_country_clip2_00501.png,"[453.4444332122803, 26.26143091917038, 574.5213222503662, 204.71450519561768]"
no_country_clip2_01219.png,"[456.58710289001465, 16.175086498260498, 576.3327445983887, 197.91757559776306]"
no_country_clip2_00860.png,"[449.25472927093506, 27.36262685060501, 573.2504758834839, 205.16326713562012]","[666.2858009338379, -3.2107773423194885, 849.2535095214844, 180.12476348876953]"
no_country_clip2_00024.png,"[558.6361217498779, 66.88555455207825, 673.0657711029053, 205.89520645141602]","[125.53354501724243, 174.089670419693, 163.25677680969238, 212.5949375629425]","[244.76560163497925, 42.35276237130165, 287.88183069229126, 93.57975196838379]"
no_country_clip2_01325.png,"[443.31936168670654, 20.0407874584198, 567.9308443069458, 205.34345316886902]"
no_country_clip2_01183.png,"[457.8529453277588, 15.972303986549377, 577.6658115386963, 197.36209058761597]"
no_country_clip2_01180.png,"[458.5130090713501, 15.367991924285889, 578.4284811019897, 197.81874990463257]"
no_country_clip2_00116.png,"[118.06947708129883, 233.58419132232666, 152.9969024658203, 271.1618638038635]","[318.76967000961304, 44.07052594423294, 372.0135989189148, 118.14039921760559]","[561.7421970367432, 126.19205713272095, 673.5831470489502, 266.739462852478]"
no_country_clip2_00228.png,"[561.9891586303711, 124.50956869125366, 673.7798671722412, 264.0972261428833]","[323.25862407684326, 58.201151847839355, 376.0668067932129, 127.14887642860413]","[11.14345008134842, 239.05175805091858, 42.03323537111282, 269.2122313976288]"
no_country_clip2_00311.png,"[326.3114252090454, 51.90970861911774, 379.4234323501587, 125.47207236289978]","[126.50160312652588, 221.83243870735168, 161.33269023895264, 264.4626967906952]","[19.581415623426437, 231.73559761047363, 52.372910380363464, 262.7027316093445]","[558.9846277236938, 123.78075361251831, 671.597092628479, 262.0728940963745]"
no_country_clip2_01080.png,"[295.849956035614, 55.27497297525406, 410.59333658218384, 202.25989627838135]"
no_country_clip2_01289.png,"[448.6006803512573, 26.046319603919983, 570.5470399856567, 211.0485920906067]"
no_country_clip2_00208.png,"[540.96937084198, 25.893589973449707, 624.8177347183228, 145.57045209407806]"
no_country_clip2_01179.png,"[458.4711580276489, 15.231512665748596, 578.3965368270874, 197.38734483718872]"
no_country_clip2_00725.png,"[452.4910583496094, 17.041812777519226, 573.5265007019043, 201.9397487640381]"
no_country_clip2_00032.png,"[561.2710189819336, 83.99598664045334, 674.2739925384521, 225.9091341495514]","[245.17230987548828, 32.86902958154678, 293.44096851348877, 93.07403779029846]"
no_country_clip2_01139.png,"[291.3561749458313, 60.131968319416046, 406.9049859046936, 200.5756287574768]"
no_country_clip2_01160.png,"[459.65173149108887, 12.94592171907425, 580.0469741821289, 193.85849738121033]"
no_country_clip2_00414.png,"[458.11264419555664, 22.336532175540924, 574.5305213928223, 197.6197316646576]"
no_country_clip2_00481.png,"[452.76086616516113, 26.118833363056183, 575.6776847839355, 206.12186551094055]"
no_country_clip2_00867.png,"[449.6657085418701, 28.076574683189392, 572.9590854644775, 205.54945755004883]","[658.9831476211548, -5.401019394397736, 847.1292657852173, 179.6192228794098]"
no_country_clip2_00028.png,"[558.6636180877686, 73.13265097141266, 672.4727802276611, 215.16698741912842]","[124.26732349395752, 180.77602589130402, 162.6504421234131, 220.31564331054688]","[238.01739883422852, 35.613251477479935, 283.40217685699463, 92.05083930492401]"
no_country_clip2_01215.png,"[457.47744846343994, 16.058611035346985, 575.2457799911499, 196.33951044082642]"
