frame_num,shot_num,crane,cross_fade,cut,dia_off_screen,dia_on_screen,dolly,face,faces,face_other,handheld,mm_cut,motion,mult_motion,pan_tilt,rack_focus,text,tracking,zoom,film
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
79,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argo
80,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
81,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
82,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
83,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
84,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
85,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
86,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
87,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
88,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
89,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
90,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
91,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
92,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
93,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
94,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
95,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
96,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
97,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
98,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
99,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
100,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
101,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
102,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
103,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
104,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
105,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
106,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
107,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
108,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
109,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
110,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
111,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
112,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
113,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
114,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
115,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
116,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
117,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
118,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
119,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
120,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
121,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
122,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
123,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
124,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
125,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
126,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
127,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
128,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
129,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
130,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
131,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
132,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
133,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
134,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
135,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
136,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
137,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
138,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
139,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
140,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
141,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
142,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
143,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
144,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
145,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
146,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
147,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,argo
148,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,argo
149,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,argo
150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,argo
151,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,argo
152,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,argo
153,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,argo
154,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,argo
155,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,argo
156,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,argo
157,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,argo
158,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,argo
159,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,argo
160,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,argo
161,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,argo
162,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
163,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
164,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
165,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
166,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
167,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
168,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
169,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
170,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
171,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
172,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
173,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
174,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
175,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
176,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
177,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
178,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
179,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
181,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
182,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
183,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
184,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
185,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
186,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
187,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
188,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
189,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
190,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,argo
191,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
192,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
193,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,argo
