frame_num,shot_num,crane,cross_fade,cut,dia_off_screen,dia_on_screen,dolly,face,faces,face_other,handheld,mm_cut,motion,mult_motion,pan_tilt,rack_focus,text,tracking,zoom,film
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,chicago
2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,chicago
3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,chicago
4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,chicago
5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,chicago
6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,chicago
7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,chicago
8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,chicago
9,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,chicago
10,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
11,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
12,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
13,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
14,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
15,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
16,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
17,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
18,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
19,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
20,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
21,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
22,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
23,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
24,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
25,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
26,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
27,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
28,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
29,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
30,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
31,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
32,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
33,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
34,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
35,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
36,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
37,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
38,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
39,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
40,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
41,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
42,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
43,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
44,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
45,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
46,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
47,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
48,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
49,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
50,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
51,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
52,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
53,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
54,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
55,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
56,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,chicago
