frame_num,shot_num,crane,cross_fade,cut,dia_off_screen,dia_on_screen,dolly,face,faces,face_other,handheld,mm_cut,motion,mult_motion,pan_tilt,rack_focus,text,tracking,zoom,film
1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,departed
2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,departed
3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,departed
4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,departed
5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,departed
6,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,departed
7,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,departed
8,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,departed
9,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,departed
10,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,departed
11,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,departed
12,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,departed
13,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,departed
14,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,departed
15,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,departed
16,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,departed
17,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,departed
18,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,departed
19,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,departed
20,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,departed
21,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,departed
22,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,departed
23,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,departed
24,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,departed
25,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,departed
26,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,departed
27,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,departed
28,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,departed
29,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,departed
30,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,departed
31,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,departed
32,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,departed
33,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,departed
34,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,departed
35,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,departed
36,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,departed
37,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,departed
38,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,departed
39,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,departed
40,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,departed
41,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,departed
42,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,departed
43,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,departed
44,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,departed
