frame_num,shot_num,crane,cross_fade,cut,dia_off_screen,dia_on_screen,dolly,face,faces,face_other,handheld,mm_cut,motion,mult_motion,pan_tilt,rack_focus,text,tracking,zoom,film
1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
6,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
8,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
9,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
10,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
11,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
12,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
13,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
14,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
15,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
16,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
17,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
18,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
19,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
20,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
21,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
22,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
23,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
24,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
25,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
26,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
27,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
28,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
29,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
30,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,emperor
31,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,emperor
32,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,emperor
33,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,emperor
34,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,emperor
35,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,emperor
36,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,emperor
37,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,emperor
38,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,emperor
39,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,emperor
