frame_num,shot_num,crane,cross_fade,cut,dia_off_screen,dia_on_screen,dolly,face,faces,face_other,handheld,mm_cut,motion,mult_motion,pan_tilt,rack_focus,text,tracking,zoom,film
1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
6,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
7,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
8,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
9,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
10,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
11,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
12,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
13,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
14,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
15,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
16,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
17,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
18,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
19,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
20,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
21,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
22,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
23,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
24,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
25,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
26,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
27,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
28,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
29,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
30,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
31,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
32,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
33,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
34,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
35,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
36,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
37,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
38,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
39,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
40,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
41,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
42,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
43,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
44,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
45,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,gladiator
46,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,gladiator
47,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,gladiator
48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,gladiator
49,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,gladiator
50,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,gladiator
51,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,gladiator
52,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,gladiator
53,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,gladiator
54,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,gladiator
55,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,gladiator
56,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,gladiator
57,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,gladiator
58,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,gladiator
59,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,gladiator
60,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,gladiator
61,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,gladiator
62,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,gladiator
63,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,gladiator
64,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,gladiator
65,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,gladiator
66,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,gladiator
67,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,gladiator
68,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,gladiator
69,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,gladiator
70,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
71,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
72,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
73,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
74,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
75,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
76,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
77,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
78,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
79,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
80,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
81,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
82,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
83,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
84,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
85,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
86,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
87,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
88,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
89,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
90,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
91,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
92,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
93,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
94,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
95,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
96,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
97,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
98,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
99,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
100,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
101,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
102,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
103,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
104,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
105,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,gladiator
