frame_num,shot_num,crane,cross_fade,cut,dia_off_screen,dia_on_screen,dolly,face,faces,face_other,handheld,mm_cut,motion,mult_motion,pan_tilt,rack_focus,text,tracking,zoom,film
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
14,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
15,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
18,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
20,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
21,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
22,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
23,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
24,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
26,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
27,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
28,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
29,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
30,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
31,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
32,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
33,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
34,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
35,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
36,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
37,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
38,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
39,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
40,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kings
41,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
58,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
62,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
63,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
68,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
69,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
70,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kings
