frame_num,shot_num,crane,cross_fade,cut,dia_off_screen,dia_on_screen,dolly,face,faces,face_other,handheld,mm_cut,motion,mult_motion,pan_tilt,rack_focus,text,tracking,zoom,film
1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
6,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
7,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
8,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
9,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
10,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
11,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
12,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
13,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
14,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
15,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
16,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
17,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
18,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
19,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
20,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
21,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
22,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
23,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
24,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
25,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
26,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
27,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
28,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
29,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
30,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
31,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
32,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
33,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
34,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
35,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
36,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
37,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
38,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
39,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
40,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
41,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
42,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
43,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
44,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
45,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
46,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
47,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
48,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
49,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
50,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
51,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
52,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
53,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
54,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
55,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
56,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
57,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
58,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
59,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
60,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
61,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
62,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,saving
63,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,saving
64,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,saving
65,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,saving
66,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,saving
67,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,saving
68,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,saving
69,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,saving
70,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,saving
71,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,saving
72,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,saving
73,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,saving
74,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,saving
75,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,saving
76,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,saving
77,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,saving
78,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,saving
79,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,saving
80,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,saving
81,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,saving
82,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,saving
83,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,saving
84,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,saving
85,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,saving
86,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,saving
87,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,saving
