frame_num,shot_num,crane,cross_fade,cut,dia_off_screen,dia_on_screen,dolly,face,faces,face_other,handheld,mm_cut,motion,mult_motion,pan_tilt,rack_focus,text,tracking,zoom,film
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
9,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
10,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
11,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
12,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
13,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
14,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
15,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
16,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
17,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
18,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
19,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
20,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
21,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
22,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
23,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
24,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
25,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
26,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
27,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
28,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
29,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
30,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
31,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
32,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
33,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
34,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
35,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,shakespeare_clip1
