frame_num,shot_num,crane,cross_fade,cut,dia_off_screen,dia_on_screen,dolly,face,faces,face_other,handheld,mm_cut,motion,mult_motion,pan_tilt,rack_focus,text,tracking,zoom,film
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,slumdog
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,slumdog
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,slumdog
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,slumdog
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,slumdog
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,slumdog
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,slumdog
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,slumdog
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,slumdog
10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,slumdog
11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,slumdog
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,slumdog
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,slumdog
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,slumdog
15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,slumdog
16,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,slumdog
17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,slumdog
18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,slumdog
19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,slumdog
20,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,slumdog
21,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,slumdog
22,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,slumdog
23,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,slumdog
24,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,slumdog
25,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,slumdog
26,3,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,slumdog
27,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,slumdog
28,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,slumdog
29,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,slumdog
30,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,slumdog
31,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,slumdog
32,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,slumdog
33,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,slumdog
34,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,slumdog
35,3,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,slumdog
36,3,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,slumdog
37,3,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,slumdog
38,3,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,slumdog
39,3,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,slumdog
40,3,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,slumdog
41,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,slumdog
42,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,slumdog
43,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,slumdog
44,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,slumdog
45,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,slumdog
46,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,slumdog
47,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,slumdog
48,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,slumdog
49,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,slumdog
50,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,slumdog
51,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,slumdog
52,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,slumdog
53,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,slumdog
54,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,slumdog
55,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,slumdog
56,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,slumdog
57,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,slumdog
58,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,slumdog
59,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,slumdog
60,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,slumdog
61,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,slumdog
62,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,slumdog
63,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,slumdog
64,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,slumdog
65,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,slumdog
66,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,slumdog
67,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,slumdog
68,4,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,slumdog
69,5,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,slumdog
70,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,slumdog
71,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,slumdog
72,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,slumdog
73,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,slumdog
74,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,slumdog
75,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,slumdog
76,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,slumdog
77,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,slumdog
78,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,slumdog
79,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,slumdog
80,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,slumdog
81,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,slumdog
82,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,slumdog
83,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,slumdog
84,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,slumdog
