frame_num,shot_num,crane,cross_fade,cut,dia_off_screen,dia_on_screen,dolly,face,faces,face_other,handheld,mm_cut,motion,mult_motion,pan_tilt,rack_focus,text,tracking,zoom,film
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
21,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
22,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
23,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
24,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
26,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
27,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
28,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
29,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
30,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
31,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
32,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
33,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
34,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
35,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
36,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
37,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
38,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
39,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,unforgiven
40,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,unforgiven
41,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,unforgiven
42,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,unforgiven
43,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,unforgiven
44,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,unforgiven
45,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,unforgiven
46,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,unforgiven
